ticker,t0,fwd_max_ret
6524.T,2025-04-07,1.268
6524.T,2025-10-31,1.036
6526.T,2023-12-01,1.067
6526.T,2025-04-04,1.068
6537.T,2024-05-13,1.033
6554.T,2021-11-11,1.343
6551.T,2025-04-07,1.09
6558.T,2022-05-09,1.005
6557.T,2024-04-26,1.421
6561.T,2021-11-19,1.017
6561.T,2022-07-15,1.047
6560.T,2022-02-22,1.013
6562.T,2022-12-23,1.01
6573.T,2023-08-07,3.884
6578.T,2023-10-13,1.032
6579.T,2022-06-13,1.073
6580.T,2025-03-10,1.081
6590.T,2022-12-12,1.183
6590.T,2024-08-05,1.007
6590.T,2025-04-01,1.063
6590.T,2025-10-03,1.126
6597.T,2022-02-14,1.042
6597.T,2024-12-11,1.04
6597.T,2025-11-12,1.024
6613.T,2025-07-08,1.121
6613.T,2026-01-15,6.019
6620.T,2023-12-22,1.008
6616.T,2025-12-10,1.025
6619.T,2021-12-13,1.181
6619.T,2025-12-12,1.092
6617.T,2025-10-10,1.001
6622.T,2023-10-03,1.104
6622.T,2025-08-05,1.032
6625.T,2023-08-28,1.005
6629.T,2025-12-05,1.261
6630.T,2022-01-19,1.019
6632.T,2022-05-19,1.011
6632.T,2024-06-17,1.001
6627.T,2022-08-31,1.025
6627.T,2023-04-26,1.01
6627.T,2025-04-03,1.075
6627.T,2025-10-07,1.083
6637.T,2025-04-03,1.129
6638.T,2023-11-10,1.084
6659.T,2024-02-29,1.392
6656.T,2025-04-07,1.113
6668.T,2021-08-06,1.003
6668.T,2025-10-14,1.29
6674.T,2025-12-11,1.01
6666.T,2025-09-01,1.059
6666.T,2026-03-19,1.068
6677.T,2023-02-10,1.077
6699.T,2022-02-24,1.106
6696.T,2022-07-25,1.233
6696.T,2023-11-15,1.04
6676.T,2025-04-07,1.059
6703.T,2025-04-04,1.013
6703.T,2025-10-08,1.022
6707.T,2022-08-29,1.041
6723.T,2022-12-07,1.015
6723.T,2025-10-30,1.077
6730.T,2022-06-20,1.015
6731.T,2025-01-07,1.116
6736.T,2023-11-15,1.172
6736.T,2024-05-24,1.226
6736.T,2025-05-30,1.048
6752.T,2025-11-05,1.015
6754.T,2025-10-14,1.079
6762.T,2026-01-14,1.031
6768.T,2025-12-16,1.0
6769.T,2023-12-22,1.076
6777.T,2022-02-21,1.073
6777.T,2023-08-14,1.128
6777.T,2024-04-22,1.009
6777.T,2025-04-03,1.019
6777.T,2025-10-07,1.9
6779.T,2025-10-14,1.079
6779.T,2026-04-21,1.293
6794.T,2025-04-03,1.109
6787.T,2023-12-14,1.003
6787.T,2024-08-05,1.194
6787.T,2025-04-07,1.153
6787.T,2025-10-09,2.007
6800.T,2025-08-04,1.004
6817.T,2022-06-20,1.04
6814.T,2023-07-10,1.039
6814.T,2024-08-05,1.185
